"No. Pesanan","Nama Produk","Harga Barang","Jumlah","Tingkat Komisi %","Jumlah Komisi (IDR)","Status Pesanan","Tanggal Pesanan","Nama Toko","Tipe Sumber"
"SHP202609010001","Serum Glowing Vitamin C 30ml Anti Aging Brightening",89000,1,8.5,7565,"selesai","2026-09-01","BeautyGlow Official Store","ads"
"SHP202609010002","Sandal Slip On Wanita Flat Slip On Empuk Kekinian",65000,2,7.2,9360,"selesai","2026-09-01","ShoesMarket ID","ads"
"SHP202609010003","Sepatu Running Sport Pria Breathable Ultra Light",135000,1,9.0,12150,"selesai","2026-09-01","SportWear Official Store","organic"
"SHP202609020001","Moisturizer Hyaluronic Acid Hydrating Gel 50g",125000,1,8.0,10000,"selesai","2026-09-02","SkinCare Lab","ads"
"SHP202609020002","Sunscreen SPF 50+ PA+++ Anti UV Watery Sunscreen",68000,2,9.5,12920,"selesai","2026-09-02","SunGuard Store","ads"
"SHP202609020003","Facial Wash Gentle Cleanser BPOM 100ml",45000,1,6.8,3060,"pending","2026-09-02","CleanFace ID","organic"
"SHP202609030001","Serum Glowing Vitamin C 30ml Anti Aging Brightening",89000,2,8.5,15130,"selesai","2026-09-03","BeautyGlow Official Store","ads"
"SHP202609030002","Eye Cream Anti Aging Peptide 15g",175000,1,10.2,17850,"selesai","2026-09-03","BeautyGlow Official Store","ads"
"SHP202609030003","Toner Rose Water Refreshing Mist 200ml",55000,1,5.5,3025,"selesai","2026-09-03","NaturalBeauty","organic"
"SHP202609030004","Sheet Mask Bundle Brightening 10pcs",95000,1,8.0,7600,"batal","2026-09-03","MaskHub","ads"
